system,code,display
UMLS,0234422,"Awake"
UMLS,1720052,"Awakening (time frame)"
UMLS,0011849,"Diabetes Mellitus"
UMLS,0011847,"Diabetes"
UMLS,0241863,"diabetic"
UMLS,0011848,"Diabetes Insipidus"
UMLS,0042034,"Urination"
UMLS,0085606,"Urgency of micturition"
UMLS,0013428,"Dysuria"
UMLS,0008034,"Chest Tubes"
UMLS,0013103,"Drainage procedure"
UMLS,0180499,"Drain device"
UMLS,4265177,"Drain number:ID:Pt:^Patient:Nom"
UMLS,0003962,"Ascites"
UMLS,4553641,"Ascites, CTCAE"
UMLS,0439685,"Ascitic"
UMLS,0003964,"Peritoneal Fluid (body substance)"
UMLS,0008732,"Chylous Ascites"
UMLS,0003280,"Anticoagulants"
UMLS,0848112,"on anti-coagulants"
UMLS,3536711,"Anti-coagulant [EPC]"
UMLS,0456388,"Blood product"
UMLS,0005767,"Blood"
UMLS,0229664,"peripheral blood"
UMLS,0201973,"Creatine kinase measurement"
UMLS,0010287,"Creatine Kinase"
UMLS,0010289,"Creatine Kinase, BB Form"
UMLS,0010290,"Creatine Kinase MB Isoenzyme"
UMLS,0578131,"Ability to mobilize"
UMLS,0185112,"Therapeutic Mobilization"
UMLS,2080791,"physical therapy mobilization (treatment)"
UMLS,0578718,"Does mobilize"
UMLS,0559964,"Ability to walk"
UMLS,4036205,"Ambulate"
UMLS,0080331,"Walking (activity)"
UMLS,0945826,"Ambulation"
UMLS,4035885,"Ambulant"
UMLS,4285652,"Ambulation:Find:Pt:^Patient:Nom"
UMLS,0201657,"C-reactive protein measurement"
UMLS,0006560,"C-reactive protein"
UMLS,4048285,"C-Reactive Protein, human"
UMLS,0304509,"Inotropic agent"
UMLS,1258199,"Inotropism"
UMLS,1372753,"Negative Inotropy"
UMLS,1372805,"Positive Inotropy"
UMLS,1622400,"regulation of the force of heart contraction"
UMLS,1258016,"Inotropism, Cardiac"
UMLS,0542379,"Awake intubation"
UMLS,0723446,"stay awake"
UMLS,1718390,"Time awake"
UMLS,3174069,"Infant awake"
UMLS,0396622,"Oral intubation awake"
UMLS,0517994,"Obeys commands"
UMLS,3899069,"GOSE - Consciousness: Obey Simple Commands"
UMLS,3476094,"LOC commands"
UMLS,3639197,"CDISC ADAS-Cog - Commands: Fist"
UMLS,3639198,"CDISC ADAS-Cog - Commands: Ceiling"
UMLS,0001122,"Acidosis"
UMLS,0220981,"Metabolic acidosis"
UMLS,4552820,"Acidosis, CTCAE"
UMLS,1314724,"Acidotic hyperventilation"
UMLS,0001125,"Acidosis, Lactic"
UMLS,0001127,"Acidosis, Respiratory"
UMLS,0451610,"Patient reviewed"
UMLS,1709940,"Reviewed"
UMLS,1552617,"Act Class - review"
UMLS,1709941,"Reviewed By (qualifier)"
UMLS,0392025,"Enlargement abdomen"
UMLS,0019080,"Hemorrhage"
UMLS,0005729,"Bleeding time procedure"
UMLS,0005779,"Blood Coagulation Disorders"
UMLS,0009760,"Conjunctival hemorrhage"
UMLS,0014591,"Epistaxis"
UMLS,0475809,"Color of sputum"
UMLS,4321527,"Color:Type:Pt:Sputum:Nom"
UMLS,0019046,"Hemoglobin measurement"
UMLS,0019029,"Hemoglobin concentration result"
UMLS,0019043,"Sickle Hemoglobin"
UMLS,0518015,"Hemoglobin measurement"
UMLS,0026018,"Microscopy"
UMLS,0002063,"Alkalosis"
UMLS,4552862,"Alkalosis, CTCAE"
UMLS,0002064,"Alkalosis, Respiratory"
UMLS,0004775,"Bartter Disease"
UMLS,0021910,"Intravenous Feeding"
UMLS,1510670,"Feeds"
UMLS,0204695,"Feeding patient"
UMLS,2987508,"Feeding Activity"
UMLS,3853577,"Feed (action)"
UMLS,3539909,"Allergic disposition"
UMLS,0020517,"Hypersensitivity"
UMLS,1314973,"Response to antigens"
UMLS,1527304,"Allergic Reaction"
UMLS,0278060,"Mental state (observable entity)"
UMLS,0229992,"Psyche structure"
UMLS,1829822,"Mental health.status"
UMLS,0013227,"Drug or medicament"
UMLS,3687832,"Drugs - dental services"
UMLS,1254351,"Pharmacologic Substance"
UMLS,1135440,"Procedures involving the use of pharmaceuticals"
UMLS,0456386,"Medicament"
UMLS,0040405,"X-Ray Computed Tomography"
UMLS,0445623,"Microorganism"
UMLS,0016832,"Fungi"
UMLS,0427918,"Identification of microorganisms in CSF"
UMLS,1287307,"CSF: microorganisms results"
UMLS,2924472,"Microorganisms panel"
UMLS,0392201,"Blood glucose measurement"
UMLS,0005802,"Blood Glucose"
UMLS,1547007,"Blood product - Indirect exposure mechanism"
UMLS,1704353,"Fluid output"
UMLS,1883350,"Titrate"
UMLS,0162621,"Titration Method"
UMLS,0475208,"Titer"
